DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	2p21	2	43340079		THADA			ENSG00000115970			rs13414381-?	rs13414381	0	13414381	intron_variant	0	NR	9E-17	16.045757490560675				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	2p16.1	2	60359572		MIR4432HG			ENSG00000228590			rs243018-?	rs243018	0	243018	non_coding_transcript_exon_variant	0	NR	3E-9	8.522878745280337				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	2q14.2	2	120590036		LINC01101 - Y_RNA	ENSG00000280409	ENSG00000207021		123818	61237	rs11688682-?	rs11688682	0	11688682	intergenic_variant	1	NR	2E-8	7.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	2q22.3	2	147076352		LINC01911 - RNU6-692P	ENSG00000231040	ENSG00000207225		174414	331990	rs13007524-?	rs13007524	0	13007524	intergenic_variant	1	NR	9E-8	7.045757490560675				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	2q24.3	2	164651879		GRB14 - COBLL1	ENSG00000115290	ENSG00000082438		30397	1745	rs10184004-?	rs10184004	0	10184004	TF_binding_site_variant	1	NR	3E-15	14.522878745280337				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	2q36.3	2	226251649		NYAP2 - MIR5702	ENSG00000144460	ENSG00000263363		521762	407061	rs2972143-?	rs2972143	0	2972143	intergenic_variant	1	NR	2E-16	15.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	3p25.2	3	12288284		PPARG			ENSG00000132170			rs17036160-?	rs17036160	0	17036160	intron_variant	0	NR	1E-11	11.0				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	3p24.3	3	23413299		UBE2E2			ENSG00000182247			rs1496653-?	rs1496653	0	1496653	intron_variant	0	NR	2E-11	10.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	3p21.31	3	49823421		UBA7 - TRAIP	ENSG00000182179	ENSG00000183763		9468	5180	rs6446298-?	rs6446298	0	6446298	intergenic_variant	1	NR	2E-9	8.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	3p14.1	3	63996994		ATXN7			ENSG00000163635			rs112674299-?	rs112674299	0	112674299	intron_variant	0	NR	5E-9	8.301029995663981				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	3q21.1	3	123350211		ADCY5			ENSG00000173175			rs11720108-?	rs11720108	0	11720108	intron_variant	0	NR	2E-15	14.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	3q22.3	3	138334345		NME9 - MRAS	ENSG00000181322	ENSG00000158186		4459	13303	rs4678408-?	rs4678408	0	4678408	intergenic_variant	1	NR	9E-8	7.045757490560675				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	3q27.2	3	185792825		IGF2BP2			ENSG00000073792			rs7633675-?	rs7633675	0	7633675	intron_variant	0	NR	3E-27	26.522878745280337				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	3q27.3	3	186947857		ST6GAL1			ENSG00000073849			rs3887925-?	rs3887925	0	3887925	intron_variant	0	NR	2E-9	8.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	9p21.3	9	22134069		CDKN2B-AS1 - DMRTA1	ENSG00000240498	ENSG00000176399		5966	312755	rs10811660-?	rs10811660	0	10811660	intergenic_variant	1	NR	3E-31	30.522878745280337				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	9q21.32	9	81694033		TLE1-DT			ENSG00000233926			rs2796441-?	rs2796441	0	2796441	intron_variant	0	NR	8E-16	15.096910013008056				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	9q34.3	9	136345132		GPSM1			ENSG00000160360			rs28641468-?	rs28641468	0	28641468	intron_variant	0	NR	2E-8	7.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	10p13	10	12265895		CDC123 - RN7SL198P	ENSG00000151465	ENSG00000264036		15306	62237	rs11257655-?	rs11257655	0	11257655	TF_binding_site_variant	1	NR	4E-14	13.397940008672037				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	10q22.1	10	69572545		NEUROG3			ENSG00000122859			rs41277236-?	rs41277236	0	41277236	missense_variant	0	NR	3E-9	8.522878745280337				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	10q22.3	10	79193069		ZMIZ1			ENSG00000108175			rs703972-?	rs703972	0	703972	intron_variant	0	NR	6E-15	14.221848749616356				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	10q23.33	10	92707530		HHEX - Y_RNA	ENSG00000152804	ENSG00000207021		11883	2969	rs34744311-?	rs34744311	0	34744311	intergenic_variant	1	NR	5E-27	26.30102999566398				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	10q25.2	10	112978018		TCF7L2			ENSG00000148737			rs117229942-?	rs117229942	0	117229942	intron_variant	0	NR	2E-11	10.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	10q25.2	10	112998590		TCF7L2			ENSG00000148737			rs7903146-?	rs7903146	0	7903146	intron_variant	0	NR	3E-203	202.52287874528034				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	10q25.3	10	113120583		TCF7L2			ENSG00000148737			rs4918796-?	rs4918796	0	4918796	intron_variant	0	NR	4E-9	8.397940008672037				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	11p15.5	11	2175882		MIR4686 - ASCL2	ENSG00000265258	ENSG00000183734		2744	92616	rs7482891-?	rs7482891	0	7482891	regulatory_region_variant	1	NR	7E-11	10.154901959985743				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	11p15.5	11	2670241		KCNQ1, KCNQ1OT1			ENSG00000053918, ENSG00000269821			rs231362-?	rs231362	0	231362	non_coding_transcript_exon_variant	0	NR	1E-9	9.0				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	11p15.4	11	2835964		KCNQ1			ENSG00000053918			rs2237895-?	rs2237895	0	2237895	intron_variant	0	NR	3E-23	22.522878745280337				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	11p15.1	11	17390274		KCNJ11 - ABCC8	ENSG00000187486	ENSG00000006071		943	2224	rs2074314-?	rs2074314	0	2074314	intergenic_variant	1	NR	2E-12	11.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	11q13.1	11	65564802		LTBP3 - ZNRD2-DT	ENSG00000168056	ENSG00000260233		5872	3680	rs2510078-?	rs2510078	0	2510078	intergenic_variant	1	NR	6E-9	8.221848749616356				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	11q13.4	11	72749717		ARAP1			ENSG00000186635			rs11602873-?	rs11602873	0	11602873	intron_variant	0	NR	3E-17	16.522878745280337				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	11q14.3	11	92975544		MTNR1B			ENSG00000134640			rs10830963-?	rs10830963	0	10830963	intron_variant	0	NR	2E-16	15.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	12p13.32	12	4275678		CCND2, CCND2-AS1			ENSG00000118971, ENSG00000255920			rs76895963-?	rs76895963	0	76895963	non_coding_transcript_exon_variant	0	NR	2E-31	30.69897000433602				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	12q14.3	12	65827280		HMGA2			ENSG00000149948			rs2258238-?	rs2258238	0	2258238	intron_variant	0	NR	1E-12	12.0				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	12q14.3	12	65969290		HMGA2 - MIR6074	ENSG00000149948	ENSG00000276878		2999	54330	rs7968902-?	rs7968902	0	7968902	regulatory_region_variant	1	NR	2E-9	8.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	12q24.31	12	120991391		HNF1A			ENSG00000135100			rs1169299-?	rs1169299	0	1169299	intron_variant	0	NR	2E-8	7.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	13q21.1	13	58414137		LINC00374 - RNY4P29	ENSG00000232954	ENSG00000222733		181020	113518	rs7988007-?	rs7988007	0	7988007	intergenic_variant	1	NR	5E-8	7.301029995663981				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	13q31.1	13	80133294		LINC01080 - SPRY2	ENSG00000281721	ENSG00000136158		105011	202682	rs1215468-?	rs1215468	0	1215468	intron_variant	1	NR	2E-19	18.69897000433602				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
